harvest_year,department,total_pods,class_1,class_2,class_3,class_4
2015,Juarez Celman,3485,1,6,16,20
2015,Rio Cuarto,3558,0,3,13,9
2015,Rio Cuarto,2769,1,3,6,2
2015,Rio Cuarto,2208,0,3,4,4
2015,Presidente Roque Saenz Peña,1891,2,7,41,32
2015,Presidente Roque Saenz Peña,3116,2,8,39,40
2015,General Roca,3452,1,3,16,34
2016,Rio Segundo,3637,24,91,299,340
2016,General San Martín,3734,22,44,148,115
2016,General San Martín,3433,6,13,60,18
2016,Tercero Arriba,3415,94,129,482,638
2016,Tercero Arriba,2712,22,20,70,42
2016,Tercero Arriba,2238,3,2,26,12
2016,Juarez Celman,3856,40,118,342,218
2016,Juarez Celman,3126,64,86,290,270
2016,Juarez Celman,4327,92,247,961,1089
2016,Juarez Celman,3906,10,22,125,68
2016,Rio Cuarto,2616,43,52,171,80
2016,Rio Cuarto,4632,4,3,11,2
2016,Rio Cuarto,4062,29,29,115,77
2016,Rio Cuarto,4063,19,33,140,64
2016,Rio Cuarto,4665,1,4,16,11
2016,Rio Cuarto,4704,1,4,37,34
2016,Rio Cuarto,4865,5,11,21,8
2016,Presidente Roque Saenz Peña,3725,24,15,49,38
2016,Presidente Roque Saenz Peña,4260,2,5,17,12
2016,Presidente Roque Saenz Peña,3960,5,26,81,46
2016,Presidente Roque Saenz Peña,3415,9,21,85,43
2016,General Roca,2128,0,3,8,7
2016,General Roca,4120,9,22,85,35
2016,General Roca,4704,30,10,75,31
2016,General Roca,3400,7,6,10,5
2016,General Roca,3773,7,5,9,9
2016,General Roca,4233,0,5,8,3
2016,General Roca,3882,0,3,21,6
2016,General Roca,3594,39,53,196,149
2016,General Roca,1836,2,3,22,10
2016,General Roca,3902,10,16,38,16
2016,General Roca,3758,4,10,31,4
2017,General Roca,2695,1,3,24,15
2017,General Roca,2051,8,7,19,22
2017,General Roca,2663,2,11,43,20
2017,General Roca,1801,4,4,37,20
2017,General Roca,1849,5,11,38,19
2017,General Roca,2051,2,3,12,17
2017,General Roca,2078,0,0,9,4
2017,General Roca,2099,7,18,91,77
2017,General Roca,1815,4,2,23,16
2017,General Roca,1729,0,12,27,19
2017,General Roca,2152,2,9,18,12
2017,General Roca,3054,20,9,29,41
2017,General Roca,3274,9,6,24,15
2017,General Roca,3456,7,2,5,9
2017,General San Martín,1394,4,27,95,61
2017,General San Martín,1101,4,1,10,8
2017,General San Martín,1214,5,22,39,39
